Wife,Birth,Marriage Date,Children
Levira Annette Clark Smith,"April 19, 1842","April 5, 1859",0
Julina Lambson,"June 18, 1849","May 5, 1866",11
Sarah Ellen Richards,"August 25, 1850","March 1, 1868",11
Edna Lambson,"March 3, 1851","January 1, 1871",10
Alice Ann Kimball,"September 6, 1858","December 6, 1883",4
Mary Taylor Schwartz,"April 30, 1865","January 13, 1884",7
