Wife,Birth,Marriage Date,Children
Mary Adaline Goddard,8 March 1812,17 January 1845,3
Sarah Ann Pritchard,29 November 1826,21 April 1845,5
Charlotte Squires,19 November 1825,17 January 1846,2
Harriet Amelia Squires,13 September 1819,17 January 1846,5
Eleanor Houtz,14 August 1831,1 June 1848,8
Caroline Horton,25 December 1824,9 October 1853,3
Mary Elizabeth Houtz,19 May 1840,5 March 1857,6
Phoebe Amelia Woodruff,4 March 1842,4 April 1859,5
Sarah Minnie Ephramina Jensen,10 October 1855,12 June 1871,5
