End of Year,Total Membership,Children of Record,Baptisms of Children of Record,Convert Baptisms,Total Baptisms,Convert Children of Record,Births to Active Members,Mormon Birth Rate,Mormon Death Rate,Mormon Life Expectancy,Birth Rate (Fractional),Children per Woman,Female/Male Ratio,Stakes,Districts,Missions,Wards and Branches,Wards and Branches in Stakes,Branches,Wards,Branches in Stakes,Branches in Missions,Members in Stakes,Members in Missions,Members per Ward,Sunday School Attendance,Full Time Missionaries,New Missionaries,Average Mission Length (years),New Senior Missionaries,New Male Missionaries,New Female Missionaries,Total Senior Missionaries,Total Male Missionaries,Total Female Missionaries,15 Y/O,16 Y/O,17 Y/O,18 Y/O,19 Y/O,Seminary Enrollment,Activity by Births,Activity by Ward Size,Activity by Stake Size,Activity by Sunday School Attendance,Activity by Missionaries,Activity by Seminary Enrollment,Activity Rate,Gone Inactive,Active Mormons,Inactive Mormons,Deaths of Active Members,Inactives who reach Age 110,Record Adjustments,"Names Removed
Raw",Manual Corrections,Cumulative Corrections,Names Removed,Former Mormons
1830,280,40,0,274,274,32,8,57.6,50,39.5,1.0428,6.5,0.5,0,,0,4,0,0,0,0,0,,,,,,16,1.86,,,,,,,,,,,,,,,,,,,96.8,9,271,9,7,0,,,,,1,1
1831,680,74,13,398,411,46,28,58.4,50,39.5,1.0428,6.59,0.5,0,,0,6,0,0,0,0,0,,,,,,58,1.86,,,,,,,,,,,,,,,,,,,95.6,21,650,30,23,0,,,,,3,3
1832,"2,661",330,22,"1,974","1,996",231,99,59.2,50,39.5,1.0428,6.68,0.5,0,,0,33,0,0,0,0,0,,,,,,72,1.86,,,,,,,,,,,,,,,,,,,95.8,82,"2,550",111,80,0,,,,,12,14
1833,"3,140",227,64,455,519,53,174,60,50,39.5,1.0429,6.77,0.5,0,,0,40,0,0,0,0,0,,,,,,41,1.86,,,,,,,,,,,,,,,,,,,93.6,97,"2,938",202,136,0,,,,,14,27
1834,"4,372",368,59,"1,198","1,257",140,228,60.8,50,39.5,1.0429,6.86,0.5,2,,0,40,22,18,22,0,18,,,,,,111,1.86,,,,,,,,,,,,,,,,,,,92.5,136,"4,044",328,174,0,,,,,20,45
1835,"8,835",922,69,"4,404","4,473",515,407,61.6,50,39.5,1.0428,6.95,0.5,2,,0,48,22,26,22,0,26,,,,,,84,1.86,,,,,,,,,,,,,,,,,,,93.4,274,"8,249",586,308,0,,,,,40,82
1836,"13,293","1,198",119,"4,342","4,461",508,690,62.4,50,39.5,1.0427,7.04,0.5,2,,0,54,25,29,25,0,29,,,,,,80,1.86,,,,,,,,,,,,,,,,,,,92.7,412,"12,324",969,513,0,,,,,61,138
1837,"16,282","1,263",154,"2,802","2,956",328,935,63.2,50,39.5,1.0426,7.13,0.5,2,,1,67,25,42,25,0,42,,,,,123,52,1.86,,,,,,,,,,,,,,,,,,,91.2,505,"14,856","1,426",674,0,,,,,74,205
1838,"17,881","1,251",223,"1,350","1,573",158,"1,093",64,50,39.5,1.0426,7.22,0.5,2,,1,91,26,65,26,0,65,,,,,63,16,1.86,,,,,,,,,,,,,,,,,,,89.3,554,"15,972","1,909",763,0,,,,,81,275
1839,"16,460","1,195",262,703,965,82,"1,113",64.8,50,39.5,1.0425,7.31,0.5,3,,2,86,16,70,16,0,70,,,,,77,67,1.86,,,,,,,,,,,,,,,,,,,85.9,510,"14,136","2,324",737,0,,,,,"2,500","2,761"
1840,"16,865","1,152",517,510,"1,027",59,"1,093",65.6,50,39.5,1.0424,7.4,0.5,3,,2,87,18,69,18,0,69,,,,,137,80,1.86,,,,,,,,,,,,,,,,,,,83.8,523,"14,134","2,731",698,0,,,,,500,"3,122"
1841,"19,856","1,509",398,"2,651","3,049",310,"1,199",65.3,50,39.5,1.0423,7.41,0.4969,2,,2,103,19,84,19,0,84,,,,,167,100,1.86,,,,,,,,,,,,,,,,,,,83.8,616,"16,646","3,210",769,0,,,,,90,"3,055"
1842,"23,564","1,797",564,"3,318","3,882",388,"1,409",64.9,50,39.5,1.0423,7.42,0.4937,2,,2,225,26,199,26,0,199,,,,,135,45,1.86,,,,,,,,,,,,,,,,,,,84,730,"19,784","3,780",912,0,,,,,107,"3,009"
1843,"25,980","1,829","1,138","1,963","3,101",229,"1,600",64.6,50,39.5,1.0422,7.43,0.4906,2,,2,269,31,238,31,0,238,,,,,390,374,1.86,,,,,,,,,,,,,,,,,,,83.1,805,"21,584","4,396","1,029",0,,,,,118,"2,976"
1844,"26,146","1,973","1,383","2,544","3,927",297,"1,676",64.3,50,39.5,1.0422,7.44,0.4875,2,,3,272,33,239,33,0,239,,,,,893,586,1.86,,,,,,,,,,,,,,,,,,,80.9,811,"21,159","4,987","1,054",0,,,,,"3,000","5,827"
1845,"30,332","2,236","1,430","3,665","5,095",429,"1,807",64,50,39.5,1.0422,7.45,0.4844,1,,4,311,34,277,34,0,277,,,,,623,84,1.86,,,,,,,,,,,,,,,,,,,81.3,940,"24,654","5,678","1,148",0,,,,,138,"5,673"
1846,"33,993","2,405","1,426","3,073","4,499",359,"2,046",63.6,50,39.5,1.0423,7.46,0.4812,0,,5,341,30,311,30,0,311,,,,,108,32,1.86,,,,,,,,,,,,,,,,,,,81,"1,054","27,545","6,448","1,303",0,,,,,155,"5,544"
1847,"34,694","2,394","1,384","1,887","3,271",220,"2,174",63.3,50,39.5,1.0423,7.47,0.4781,1,,5,405,48,357,48,0,357,,,,,67,40,1.86,,,,,,,,,,,,,,,,,,,79.2,"1,076","27,492","7,202","1,360",0,,,,,"2,000","7,266"
1848,"40,477","2,965","1,355","5,102","6,457",597,"2,368",63,50,39.5,1.0424,7.48,0.475,1,,5,481,55,426,55,0,426,,,,,88,55,1.86,,,,,,,726,680,613,596,584,,,,,,,,80,"1,255","32,380","8,097","1,503",0,,,,,184,"7,086"
1849,"48,160","3,584","1,763","6,921","8,684",810,"2,774",62.6,50,39.5,1.0425,7.49,0.4718,1,,5,590,75,515,75,0,515,,,,,105,58,1.86,,,,,,,869,818,772,705,688,,,,,,,,80.9,"1,493","38,975","9,185","1,793",0,,,,,219,"6,950"
1850,"51,839","3,443","2,093","2,802","4,895",328,"3,115",62.3,50,39.5,1.0426,7.5,0.4687,1,,9,698,61,637,61,0,637,,,,,100,50,1.86,,,,,,,"1,072",906,856,809,743,,,,,,,,80.1,"1,607","41,506","10,333","2,002",0,,,,,236,"6,838"
1851,"52,165","3,469","2,112","2,138","4,250",250,"3,219",61.9,50,39.9,1.0431,7.489,0.4715,4,,11,777,60,717,60,0,717,,,,,87,44,1.86,,,,,,,"1,322","1,101",935,884,837,,,,,,,,78.1,"1,617","40,732","11,433","2,031",0,,,,,"3,000","9,496"
1852,"52,640","3,491","2,252","2,246","4,498",263,"3,228",61.6,50,40.3,1.0437,7.478,0.4744,5,,13,860,65,795,65,0,795,,,,,188,158,1.86,,,,,,,"1,537","1,352","1,131",965,914,,,,,,,,76.3,"1,632","40,147","12,493","1,999",0,,,,,"3,000","12,021"
1853,"64,154","4,811","2,519","10,515","13,034","1,231","3,580",61.3,50,40.7,1.0442,7.467,0.4772,5,,14,960,75,885,75,0,885,,,,,178,33,1.86,,,,,,,"1,798","1,676","1,492","1,270","1,105",,,,,,,,78.4,"1,989","50,297","13,857","2,289",0,,,,,292,"11,711"
1854,"68,429","4,409","2,755","3,118","5,873",365,"4,044",61,50,41.1,1.0448,7.456,0.4801,6,,13,938,79,859,79,0,859,,,,,141,119,1.86,,,,,,,"1,844","1,840","1,718","1,533","1,312",,,,,,,,77.7,"2,121","53,144","15,285","2,575",0,,,,,312,"11,437"
1855,"63,974","4,278","2,775","2,334","5,109",273,"4,005",60.5,50,41.6,1.0454,7.445,0.4829,6,,14,957,99,858,99,0,858,,,,,171,65,1.86,,,,,,,"1,847","1,875","1,871","1,749","1,564",,,,,,,,84.4,"1,983","53,970","10,004","2,794",0,,,,,"8,000","18,865"
1856,"63,881","4,053","3,350","1,757","5,107",205,"3,848",60.2,50,42,1.046,7.434,0.4857,7,,12,965,124,841,124,0,841,,,,,181,130,1.86,,,,,,,"1,976","1,871","1,898","1,894","1,772",,,,,,,,84.4,"1,980","53,897","9,984","2,698",0,,,,,"3,000","20,921"
1857,"55,236","3,886","3,991","2,720","6,711",318,"3,568",59.9,50,42.4,1.0466,7.423,0.4886,6,,12,819,77,742,77,0,742,,,,,203,88,1.86,,,,,,,"2,193","2,012","1,907","1,935","1,930",,,,,,,,98.5,"1,712","54,380",856,"2,933",0,,,,,"12,000","31,874"
1858,"55,755","3,525","3,785","1,858","5,643",217,"3,308",59.6,50,42.8,1.0472,7.412,0.4914,4,,9,742,81,661,81,0,661,,,,,82,0,1.86,,,,,,,"2,364","2,217","2,037","1,931","1,959",,,,,,,,95.4,"1,728","53,214","2,541","2,647",0,,,,,"2,000","32,280"
1859,"57,038","3,410","3,790",570,"4,360",66,"3,344",59.3,42.1,43.2,1.0478,7.401,0.4943,4,,9,733,98,635,98,0,635,,,,,17,18,1.86,,,,,,,"2,421","2,371","2,225","2,044","1,939",,,,,,,,92.6,"1,768","52,836","4,202","2,199",0,,878,-871,-871,7,"30,928"
1860,"61,082","3,556","3,785",611,"4,396",71,"3,485",59,45.1,43.6,1.0484,7.39,0.4971,4,,8,721,110,611,110,0,611,,,,,106,96,1.86,,,,,,,"2,526","2,429","2,379","2,233","2,053",,,,,,,,90.3,"1,894","55,176","5,906","2,405",0,,"-2,053","2,061","1,190",8,"29,541"
1861,"66,211","3,839","5,080",662,"5,742",77,"3,762",59.1,41.9,43.8,1.0487,7.4439,0.4966,4,,7,714,126,588,126,0,588,,,,,107,19,1.86,,,,,,,"2,735","2,535","2,438","2,388","2,242",,,,,,,,88.4,"2,053","58,499","7,712","2,357",0,,"-1,744","1,752","2,942",8,"28,311"
1862,"68,780","4,076","4,561",688,"5,249",80,"3,996",59.2,39.9,43.9,1.0489,7.4868,0.496,4,,7,698,135,563,135,0,563,,,,,43,27,1.86,,,,,,,"2,831","2,744","2,544","2,447","2,397",,,,,,,,86.1,"2,132","59,244","9,536","2,319",0,,361,-352,"2,590",9,"27,190"
1863,"71,770","4,244","4,400",718,"5,118",84,"4,160",59.2,38.6,44.1,1.0491,7.5297,0.4955,4,,7,667,143,524,143,0,524,,,,,72,50,1.86,,,,,,,"3,010","2,841","2,753","2,554","2,457",,,,,,,,84.1,"2,225","60,377","11,393","2,281",0,,-153,162,"2,752",9,"26,149"
1864,"74,348","4,427","4,155",743,"4,898",87,"4,340",59.4,36.9,44.2,1.0493,7.5726,0.4949,4,,8,632,161,471,161,0,471,,,,,95,52,1.86,,,,,,,"3,354","3,020","2,850","2,763","2,564",,,,,,,,82.1,"2,305","61,070","13,278","2,213",0,,107,-98,"2,654",9,"25,193"
1865,"76,771","4,577","3,975",768,"4,743",89,"4,488",59.4,35.1,44.4,1.0495,7.6155,0.4944,4,,8,600,164,436,164,0,436,,,,,114,71,1.86,,,,,,,"3,607","3,364","3,030","2,861","2,773",,,,,,,,80.2,"2,380","61,579","15,192","2,127",0,,193,-183,"2,471",10,"24,318"
1866,"77,884","4,684","3,592",779,"4,371",91,"4,593",59.4,34.1,44.6,1.0497,7.6584,0.4938,4,,8,587,167,420,167,0,420,,,,,96,32,1.86,,,,,,,"3,683","3,618","3,374","3,041","2,871",,,,,,,,78.1,"2,414","60,796","17,088","2,059",0,,"1,199","-1,189","1,282",10,"23,498"
1867,"81,124","4,824","3,465",811,"4,276",94,"4,730",59.5,32.7,44.7,1.0498,7.7013,0.4933,4,,8,582,175,407,175,0,407,,,,,153,133,1.86,,,,,,,"3,672","3,694","3,628","3,385","3,051",,,,,,,,76.5,"2,515","62,080","19,044","1,989",0,,-953,963,"2,245",10,"22,739"
1868,"84,622","5,030","3,612",846,"4,458",99,"4,931",59.5,31,44.9,1.0499,7.7442,0.4927,5,,8,563,178,385,178,0,385,,,,,153,32,1.86,,,,,,,"4,003","3,683","3,705","3,640","3,396",,,,,,,,75.1,"2,623","63,545","21,077","1,929",0,,-969,980,"3,225",11,"22,045"
1869,"88,432","5,260","3,896",884,"4,780",103,"5,157",59.6,29.4,45,1.05,7.7871,0.4922,9,,7,570,187,383,187,0,383,,,,,262,250,1.86,,,,,,,"4,326","4,015","3,695","3,717","3,651",,,,,,,,73.8,"2,741","65,234","23,198","1,877",0,,-907,918,"4,143",11,"21,407"
1870,"90,130","5,426","4,134",901,"5,035",105,"5,321",59.6,28.2,45.2,1.0501,7.83,0.4916,9,,7,558,195,363,195,0,363,,,,,275,46,1.86,,,,,,,"4,254","4,338","4,027","3,707","3,729",,,,,,,,71.9,"2,794","64,792","25,338","1,810",0,,"1,527","-1,515","2,628",12,"20,815"
1871,"95,596","5,692","4,303",956,"5,259",111,"5,581",60.1,26.8,44.7,1.0501,7.828,0.4903,9,,7,542,200,342,200,0,342,,,,,198,167,1.86,,,,,,,"4,077","4,267","4,351","4,040","3,720",,,,,,,,71.1,"2,963","67,974","27,622","1,769",0,,"-1,976","1,988","4,616",12,"20,269"
1872,"98,152","5,975","4,487",982,"5,469",114,"5,861",60.5,25.5,44.3,1.05,7.826,0.489,9,,7,553,206,347,206,0,347,,,,,278,132,1.86,,,,,,,"3,785","4,090","4,280","4,364","4,053",,,,,,,,69.5,"3,043","68,191","29,961","1,717",0,,"1,196","-1,183","3,433",13,"19,765"
1873,"101,538","6,209","4,638","1,015","5,653",118,"6,091",61,24.6,43.8,1.0499,7.824,0.4878,9,,7,561,213,348,213,0,348,,,,,155,35,1.86,,,,,,,"3,500","3,799","4,103","4,293","4,377",,,,,,,,68.1,"3,148","69,166","32,372","1,673",0,,594,-581,"2,852",13,"19,291"
1874,"103,916","6,439","4,746","1,039","5,785",121,"6,318",61.5,25.6,43.3,1.0498,7.822,0.4865,10,,7,525,216,309,216,0,309,,,,,124,98,1.86,,,,,,,"3,523","3,514","3,812","4,117","4,307",,,,,,,,66.5,"3,221","69,152","34,764","1,749",0,,"1,658","-1,645","1,207",13,"18,810"
1875,"107,167","6,658","4,887","1,072","5,959",125,"6,533",61.9,25.5,42.9,1.0496,7.82,0.4852,10,,7,524,222,302,222,0,302,,,,,274,197,1.86,,,,,,,"3,671","3,538","3,528","3,827","4,131",,,,,,,,65.3,"3,322","69,967","37,200","1,757",0,,951,-937,270,14,"18,344"
1876,"111,111","6,951","5,094","1,111","6,205",130,"6,821",62.5,25.7,42.4,1.0494,7.818,0.4839,10,,8,537,230,307,230,0,307,,,,,379,211,1.86,,,,,,,"3,955","3,686","3,553","3,543","3,841",,,,,,,,64.3,"3,444","71,423","39,688","1,804",0,,457,-443,-173,14,"17,886"
1877,"115,065","7,259","5,325","1,151","6,476",134,"7,125",63,25.4,41.9,1.0492,7.816,0.4826,20,,8,537,252,285,252,0,285,,,,,339,154,1.86,,,,,,,"4,196","3,971","3,702","3,568","3,558",,,,,,,,63.3,"3,567","72,818","42,247","1,818",0,,704,-689,-862,15,"17,446"
1878,"125,046","7,782","5,494","1,250","6,744",146,"7,636",63.6,24.2,41.4,1.0489,7.814,0.4814,21,,9,526,254,272,254,0,272,,,,,285,152,1.86,,,,,,,"4,368","4,213","3,987","3,718","3,584",,,,,,,,63.9,"3,876","79,945","45,101","1,857",0,,"-5,094","5,110","4,248",16,"17,039"
1879,"128,386","8,260","5,761","1,284","7,045",150,"8,110",64,22.8,41,1.0486,7.812,0.4801,22,,10,552,263,289,263,0,289,,,,,308,179,1.86,,,,,,,"4,556","4,385","4,230","4,005","3,735",,,,,,,,62.6,"3,980","80,333","48,053","1,809",0,,"1,896","-1,880","2,368",16,"16,666"
1880,"133,628","8,619","6,046","1,336","7,382",156,"8,463",64.6,22,40.5,1.0482,7.81,0.4788,23,,10,559,272,287,272,0,287,,,,,370,219,1.86,,,,,,,"4,712","4,574","4,403","4,248","4,022",,,,,,,,61.7,"4,142","82,490","51,138","1,778",0,,362,-345,"2,023",17,"16,316"
1881,"140,733","8,820","6,282","1,407","7,689",164,"8,656",63.1,21.3,41.1,1.0481,7.758,0.4778,23,,10,576,283,293,283,0,293,,,,,389,199,1.86,,,,,,,"4,826","4,731","4,592","4,422","4,266",,,,,,,,61.3,"4,363","86,321","54,412","1,791",0,,"-1,207","1,225","3,248",18,"15,986"
1882,"145,604","8,975","6,514","1,456","7,970",170,"8,805",61.5,20.5,41.8,1.048,7.706,0.4768,24,,10,583,292,291,292,0,291,,,,,405,237,1.86,,,,,,,"4,972","4,845","4,750","4,612","4,441",,,,,,,,60.3,"4,514","87,793","57,811","1,770",0,,"1,329","-1,310","1,938",19,"15,677"
1883,"151,593","9,108","6,735","1,516","8,251",177,"8,931",60.1,20,42.4,1.0479,7.654,0.4758,27,,11,609,317,292,317,0,292,,,,,451,248,1.86,,,,,,,"5,183","4,992","4,865","4,770","4,632",,,,,,,,59.5,"4,699","90,239","61,354","1,768",0,,494,-475,"1,463",19,"15,382"
1884,"158,242","9,294","7,031","1,582","8,613",185,"9,109",58.8,19.2,43,1.0477,7.602,0.4748,29,,13,636,340,296,340,0,296,,,,,421,205,1.86,,,,,,,"5,419","5,204","5,013","4,886","4,791",,,,,,,,58.9,"4,906","93,160","65,082","1,752",0,,212,-192,"1,271",20,"15,106"
1885,"164,130","9,428","7,341","1,641","8,982",192,"9,236",57.3,18.4,43.7,1.0475,7.55,0.4738,29,,12,659,348,311,348,0,311,,,,,409,235,1.86,,,,,,,"5,593","5,441","5,226","5,035","4,908",,,,,,,,58,"5,088","95,158","68,972","1,720",104,,"1,270","-1,249",22,21,"14,849"
1886,"166,653","9,457","7,865","1,667","9,532",195,"9,262",56,18.1,44.3,1.0473,7.498,0.4728,30,,12,657,342,315,342,0,315,,,,,413,209,1.86,,,,,,,"5,864","5,615","5,463","5,248","5,057",,,,,,,,56.3,"5,166","93,763","72,890","1,685",132,,"5,192","-5,170","-5,148",22,"14,602"
1887,"173,029","9,509","8,345","1,730","10,075",202,"9,307",54.8,17.5,44.9,1.0471,7.446,0.4718,31,,12,686,360,326,360,0,326,,,,,457,282,1.86,,,,,,,"6,155","5,887","5,639","5,486","5,271",,,,,,,,55.5,"5,364","96,051","76,978","1,650",351,,"1,698","-1,676","-6,823",22,"14,368"
1888,"180,294","9,680","8,707","1,803","10,510",211,"9,469",53.6,16.8,45.5,1.0468,7.394,0.4708,32,,13,709,373,336,373,0,336,,,,,487,242,1.86,,,,,,,"6,396","6,179","5,911","5,662","5,510",,,,,,,,54.9,"5,589","99,020","81,274","1,629",314,,"1,302","-1,279","-8,102",23,"14,149"
1889,"183,144","9,718","8,908","1,831","10,739",214,"9,504",52.3,16.5,46.2,1.0465,7.342,0.4698,32,,12,727,388,339,388,0,339,,,,,457,249,1.86,,,,,,,"6,635","6,421","6,203","5,935","5,687",,,,,,,,53.3,"5,677","97,534","85,610","1,598",361,,"5,930","-5,906","-14,008",24,"13,939"
1890,"188,263","9,709","9,064","1,883","10,947",220,"9,489",51.1,16.1,46.8,1.0462,7.29,0.4688,32,,12,725,395,330,395,0,330,,,,,495,283,1.86,,,,,,,"6,861","6,660","6,446","6,228","5,960",,,,,,,,52.2,"5,836","98,195","90,068","1,561",625,,"3,642","-3,618","-17,626",24,"13,738"
1891,"195,445","9,974","9,199","1,954","11,153",228,"9,746",50.8,15.6,46.9,1.046,7.229,0.4707,32,,12,741,409,332,409,0,332,,,,,571,331,1.86,,,,,,,"7,162","6,887","6,686","6,472","6,254",,,,,,,,51.5,"6,059","100,723","94,722","1,541",815,,"1,615","-1,590","-19,216",25,"13,548"
1892,"200,961","10,264","9,386","2,010","11,396",235,"10,029",50.6,15.2,46.9,1.0458,7.168,0.4726,33,,14,789,439,350,439,0,350,,,,,609,324,1.86,,,,,,,"7,478","7,189","6,914","6,712","6,498",,,,,,,,50.5,"6,230","101,449","99,512","1,521",886,,"3,473","-3,447","-22,663",26,"13,368"
1893,"214,534","10,680","9,524","2,145","11,669",251,"10,429",50.2,14.7,47,1.0456,7.107,0.4746,34,,15,807,451,356,451,0,356,,,,,596,317,1.86,,,,,,,"8,003","7,507","7,217","6,943","6,741",,,,,,,,51.2,"6,651","109,834","104,700","1,564",845,,"-4,313","4,340","-18,323",27,"13,198"
1894,"222,369","11,183","9,555","2,224","11,779",260,"10,923",50,13.9,47,1.0453,7.046,0.4765,34,,15,813,457,356,457,0,356,,,,,445,162,1.86,,,,,,,"8,491","8,033","7,536","7,247","6,972",,,,,,,,50.5,"6,893","112,231","110,138","1,533",809,,"1,602","-1,574","-19,896",28,"13,042"
1895,"231,116","11,539","9,610","2,311","11,921",270,"11,269",49.7,13.2,47.1,1.0451,6.985,0.4784,37,,15,835,479,356,479,0,356,,,,,640,526,1.86,,,,,,,"8,858","8,522","8,064","7,567","7,277",,,,,,,,49.9,"7,165","115,267","115,849","1,494",769,,911,-882,"-20,779",29,"12,898"
1896,"241,427","11,954","9,783","2,414","12,197",282,"11,672",49.4,12.8,47.1,1.0449,6.924,0.4803,37,,17,837,489,348,489,0,348,,,,,"1,183",746,1.86,,,,,,,"9,066","8,890","8,554","8,096","7,599",,,,,,,,49.5,"7,484","119,577","121,850","1,497",814,,-425,456,"-20,323",31,"12,763"
1897,"255,736","12,504","9,826","2,557","12,383",299,"12,205",49.1,12.6,47.2,1.0445,6.863,0.4822,37,,18,867,493,374,493,0,374,,,,,"1,551",922,1.86,,,,,,,"9,231","9,100","8,924","8,588","8,130",,,,,,,,49.9,"7,928","127,493","128,243","1,563",864,,"-4,353","4,385","-15,937",32,"12,634"
1898,"267,251","13,074","9,821","2,673","12,494",313,"12,761",48.8,12.3,47.2,1.0441,6.802,0.4842,40,,20,917,516,401,516,0,401,,,,,"1,734",943,1.86,,,,,,,"9,374","9,267","9,136","8,960","8,623",,,,,,,,49.5,"8,285","132,300","134,951","1,592",876,,"-1,489","1,523","-14,414",34,"12,512"
1899,"271,681","13,387","10,087","2,717","12,804",318,"13,069",48.5,12.3,47.3,1.0437,6.741,0.4861,40,,20,918,506,412,506,0,412,,,,,"1,862","1,059",1.86,,,,,,,"9,568","9,410","9,303","9,172","8,996",,,,,,,,47.8,"8,422","129,968","141,713","1,584",934,,"5,856","-5,821","-20,235",35,"12,393"
1900,"283,765","13,718","10,381","2,838","13,219",332,"13,386",48.2,11.8,47.3,1.0433,6.68,0.488,43,,20,967,529,438,529,0,438,"237,996","45,769",,,"1,725",796,1.86,,,,,,,"9,713","9,606","9,448","9,340","9,210",,,,,,,,47.5,"8,797","134,927","148,838","1,557",994,,"-1,416","1,452","-18,783",36,"12,282"
1901,"292,931","13,548","10,800","2,929","13,729",342,"13,206",45.8,11,49.1,1.0429,6.603,0.4865,50,,21,"1,019",577,442,577,0,442,"242,769","50,162",,,"1,226",522,1.86,,,,,,,"9,756","9,751","9,645","9,487","9,379",,,,,,,,46.6,"9,081","136,649","156,282","1,478","1,044",,"2,041","-2,004","-20,787",37,"12,183"
1902,"299,105","13,049","11,304","2,991","14,295",350,"12,699",42.9,10.1,51.6,1.0425,6.526,0.4849,50,,22,"1,076",595,481,595,0,481,"244,350","54,755",,,"1,274",848,1.86,,,,,,,"9,820","9,796","9,791","9,685","9,526",,,,,,,,45.2,"9,272","135,129","163,976","1,351","1,071",,"5,699","-5,661","-26,448",38,"12,097"
1903,"304,901","13,404","11,660","3,049","14,709",357,"13,047",43.2,10.5,50.55,1.042,6.449,0.4834,51,,23,"1,089",612,477,612,0,477,"245,352","59,549",,,"1,401",658,1.86,,,,,,,"10,000","9,860","9,837","9,832","9,725",,,,,,,,43.7,"9,452","133,195","171,706","1,386","1,185",,"6,342","-6,303","-32,751",39,"12,008"
1904,"324,289","14,567","12,082","3,243","15,325",379,"14,188",45.1,11.4,47.65,1.0416,6.372,0.4819,55,,21,"1,094",619,475,619,0,475,"267,814","56,475",,,"1,262",699,1.86,,,,,,,"10,055","10,043","9,903","9,880","9,875",,,,,,,,44.6,"10,053","144,487","179,802","1,600","1,289",,"-6,952","6,993","-25,757",41,"11,912"
1905,"332,048","14,631","12,633","3,320","15,953",388,"14,243",43.4,11,48.75,1.0412,6.295,0.4804,55,,22,"1,141",627,514,627,0,514,"270,679","61,369",,,"1,316",716,1.86,,,,,,,"10,061","10,099","10,087","9,947","9,924",,,,,,,,43.3,"10,293","143,931","188,117","1,563","1,330",,"5,301","-5,258","-31,015",43,"11,823"
1906,"345,014","14,858","13,206","3,450","16,656",403,"14,455",42.7,10.9,48.85,1.0407,6.218,0.4788,55,,22,"1,177",636,541,636,0,541,"281,440","63,574",,,"1,610","1,015",1.86,,,,,,,"10,340","10,107","10,145","10,133","9,993",,,,,,,,43,"10,695","148,252","196,762","1,587","1,337",,766,-722,"-31,737",44,"11,738"
1907,"357,913","15,532","13,522","3,579","17,101",419,"15,113",43,11.4,47.75,1.0402,6.141,0.4773,55,,22,"1,192",634,558,634,0,558,"292,134","65,779",,,"1,809",930,1.86,,,,,,,"10,645","10,387","10,154","10,193","10,181",,,,,,,,42.6,"11,095","152,299","205,614","1,707","1,350",,"1,145","-1,099","-32,836",46,"11,650"
1908,"371,472","15,096","13,857","3,715","17,572",435,"14,661",40.2,10.3,51.15,1.0402,6.064,0.4758,59,,22,"1,261",666,595,666,0,595,"303,489","67,983",,,"1,720",919,1.86,,,,,,,"11,069","10,695","10,437","10,204","10,242",,,,,,,,42.1,"11,516","156,460","215,012","1,581","1,548",,884,-837,"-33,673",47,"11,577"
1909,"377,279","15,079","13,679","3,773","17,452",441,"14,638",39.1,10,52.15,1.0391,5.987,0.4742,60,,21,"1,274",684,593,681,3,590,"310,281","66,998",455,,"1,798","1,014",1.86,,,,,,,"11,586","11,119","10,745","10,487","10,254",,,38.5,26.1,,,,38.5,"28,619","145,252","232,027","1,441","1,654",,"8,550","-8,501","-42,174",49,"11,510"
1910,"398,478","15,205","11,917","3,985","15,902",466,"14,739",38,9,50.1,1.038,5.91,0.4727,62,,21,"1,310",699,614,696,3,611,"321,631","69,102",461,,"2,028",933,1.86,,,,,,,"11,956","11,639","11,172","10,798","10,540",,,38,26,,,,38,"11,693","151,422","247,056","1,327","1,680",,"-8,304","8,354","-33,820",50,"11,456"
1911,"407,291","15,786","11,459","4,073","15,532",476,"15,310",38,8.6,52.65,1.038,4.22,0.4738,62,,21,"1,338",706,641,697,9,632,"332,980","71,207",475,,"1,632",822,1.86,,,,,,,"12,384","12,010","11,693","11,226","10,852",,100,36.8,25.1,,,,36.8,"20,123","149,883","257,408","1,275","1,699",,"3,745","-3,693","-37,513",52,"11,409"
1912,"417,555","15,955","11,002","4,176","15,178",489,"15,466",37.5,8.95,53.7,1.0375,4.24,0.4749,65,,22,"1,363",716,665,698,18,647,"344,329","76,802",487,,"1,480",769,1.86,,,,,,,"12,941","12,439","12,066","11,748","11,282",,100,35.9,25.5,,,,35.9,"18,787","149,902","267,653","1,325","1,757",,"1,832","-1,778","-39,291",54,"11,360"
1913,"431,607","16,214","10,544","4,316","14,860",505,"15,709",37,9.3,52.65,1.037,4.09,0.476,66,,22,"1,399",749,675,724,27,650,"355,679","79,007",482,,"2,000",858,1.87,,,,,"1,895",105,"13,522","12,999","12,497","12,123","11,806",70,100,36.3,25.1,,,0.1,36.3,"12,326","156,673","274,934","1,433","1,732",,"-2,357","2,412","-36,879",55,"11,309"
1914,"454,718","14,717","10,395","4,547","14,942",532,"14,185",39.5,8.3,54.4,1.0395,4.5,0.4771,68,,21,"1,373",772,634,739,33,601,"367,028","77,520",485,,"1,431",684,1.85,,648,36,,"1,316",115,"13,855","13,582","13,059","12,557","12,184",80,81,36.1,25,,10.3,0.2,36.1,"10,456","164,153","290,565","1,328","1,692",,"-11,189","11,247","-25,632",58,"11,273"
