Country,Continent,Members,Percent LDS,Temples,Missions,Districts,Stakes,Wards,Branches,Wards & Branches,FHC
Kazakhstan,Asia,230,0.001242297753925661,0,0,0,0,0,2,2,1
Kuwait,Asia,365,0.008675284115554785,0,0,0,0,1,0,1,0
Macau,Asia,1463,,0,0,0,0,0,2,2,1
Malaysia,Asia,10719,0.033112582781456956,0,0,0,0,0,28,28,8
Mongolia,Asia,12261,0.38,0,1,1,2,12,12,24,9
Philippines,Asia,805209,0.74,2,23,63,115,721,518,1239,183
Singapore,Asia,3401,0.05980861244019139,0,1,0,1,7,0,7,1
South Korea,Asia,88603,0.17,1,3,5,12,60,40,100,18
Sri Lanka,Asia,1631,0.007480550568521843,0,0,0,0,0,4,4,3
Taiwan,Asia,61607,,1,2,0,16,98,10,108,12
Thailand,Asia,23043,0.03309066843150232,0,1,2,4,20,21,41,8
United Arab Emirates,Asia,1699,0.01738828029907842,0,0,0,1,5,1,6,1
American Samoa,Oceania,16490,29.81,0,0,0,5,38,5,43,4
Australia,Oceania,154595,0.61,5,5,7,42,232,76,308,145
Cook Islands,Oceania,1865,,0,0,0,0,0,5,5,3
Fiji,Oceania,22154,2.49,1,1,3,4,27,24,51,10
French Polynesia,Oceania,28704,10.28,1,1,2,11,73,23,96,22
Guam,Oceania,2550,1.52,0,1,0,1,4,1,5,1
Kiribati,Oceania,20946,17.81,0,0,0,2,11,26,37,2
Marshall Islands,Oceania,6976,11.87,0,1,0,2,12,1,13,3
Micronesia,Oceania,6307,5.54,0,0,0,1,5,19,24,11
Nauru,Oceania,126,1.0,0,0,0,0,0,1,1,0
New Caledonia,Oceania,2500,0.87,0,0,0,1,6,3,9,3
New Zealand,Oceania,115236,2.34,1,3,2,30,177,51,228,52
Niue,Oceania,308,,0,0,0,0,0,2,2,1
Northern Mariana Islands,Oceania,865,1.51,0,0,0,0,1,0,1,1
Palau,Oceania,509,2.83,0,0,0,0,0,1,1,1
Papua New Guinea,Oceania,30825,0.35,0,2,12,2,10,71,81,2
Samoa,Oceania,83740,42.49,1,1,0,20,151,11,162,20
Solomon Islands,Oceania,1332,0.2,0,0,0,0,0,5,5,0
Tonga,Oceania,66361,63.51,1,1,2,21,139,34,173,21
Tuvalu,Oceania,296,2.54,0,0,0,0,0,1,1,0
Vanuatu,Oceania,11051,3.6,0,1,3,1,5,32,37,3
Angola,Africa,4160,0.012656625743576764,0,1,1,1,8,10,18,1
Benin,Africa,4765,0.03929273084479371,0,1,0,2,13,6,19,1
Botswana,Africa,3653,0.16,0,0,0,1,9,6,15,2
Burundi,Africa,749,0.006495615459564794,0,0,0,0,0,3,3,1
Cameroon,Africa,2245,0.008675284115554785,0,0,0,0,0,14,14,1
Cape Verde,Africa,15780,,0,1,2,3,24,18,42,6
Central African Republic,Africa,263,0.005445140212360468,0,0,0,0,0,1,1,0
Cote d'Ivoire,Africa,52241,0.2,0,3,17,14,127,123,250,27
Democratic Republic of the Congo,Africa,68871,,1,4,1,23,178,33,211,24
Ethiopia,Africa,1803,0.0016086739700464908,0,0,0,0,0,4,4,1
Ghana,Africa,89135,0.29,1,4,11,25,188,140,328,53
Kenya,Africa,14591,0.02774694783573807,0,1,6,2,13,41,54,5
Lesotho,Africa,1369,0.06389776357827476,0,0,0,0,0,6,6,1
Liberia,Africa,14538,0.29,0,1,1,5,38,15,53,5
Madagascar,Africa,12887,0.047778308647873864,0,1,3,2,16,26,42,10
Malawi,Africa,3143,0.016869095816464237,0,0,0,0,0,8,8,0
Mauritius,Africa,562,0.044385264092321346,0,0,0,0,0,3,3,0
Mozambique,Africa,15549,0.04972650422675286,0,2,1,5,31,19,50,8
Namibia,Africa,952,0.03815337657382679,0,0,0,0,0,4,4,1
Nigeria,Africa,211219,0.1,1,7,17,62,467,291,758,70
Republic of the Congo,Africa,8542,,0,1,2,2,17,10,27,3
Reunion,Africa,958,,0,0,0,0,0,4,4,5
Rwanda,Africa,843,0.006508298080052066,0,0,0,0,0,3,3,0
Sierra Leone,Africa,26108,0.33,0,1,1,9,62,24,86,8
South Africa,Africa,69438,0.12,2,4,10,17,115,80,195,76
Swaziland,Africa,2158,,0,0,0,0,0,6,6,2
Tanzania,Africa,2309,0.003865331838738356,0,1,1,0,0,13,13,1
Togo,Africa,5320,0.06578947368421052,0,0,0,2,14,7,21,1
Uganda,Africa,18955,0.041425020712510356,0,1,3,3,18,20,38,8
Zambia,Africa,5053,0.02748007694421544,0,1,2,1,7,10,17,2
Zimbabwe,Africa,36152,0.24,0,2,2,8,50,41,91,18
