Country,Continent,Members,Population,Percent LDS,Temples,Missions,Districts,Stakes,Wards,Branches,Wards & Branches,FHC,Footnote
Belgium,Europe,"6,605","11,720,716",0.06,0,0,0,2,10,2,12,8,
Bosnia and Herzegovina,Europe,73,"3,835,586",0,0,0,0,0,0,2,2,0,
Bulgaria,Europe,"2,440","6,966,899",0.04,0,1,0,0,0,7,7,4,
Croatia,Europe,635,"4,227,746",0.02,0,1,1,0,0,6,6,3,
Cyprus,Europe,507,"1,266,676",0.04,0,0,0,0,0,4,4,3,
Czechia,Europe,"2,636","10,702,498",0.02,0,1,0,1,7,5,12,2,
Denmark,Europe,"4,466","5,869,410",0.08,1,1,0,2,13,9,22,13,
Estonia,Europe,"1,146","1,228,624",0.09,0,0,0,0,0,4,4,2,
Finland,Europe,"4,885","5,571,665",0.09,1,1,2,2,15,16,31,28,
France,Europe,"39,930","67,848,156",0.06,1,2,0,10,68,40,108,72,
Germany,Europe,"39,724","80,159,662",0.05,2,3,0,14,94,56,150,97,
Greece,Europe,804,"10,607,051",0.01,0,0,0,0,0,3,3,1,
Guernsey,Europe,62,"67,052",0.09,0,0,0,0,0,1,1,1,
Hungary,Europe,"5,231","9,771,827",0.05,0,1,2,1,5,17,22,13,
Iceland,Europe,300,"350,734",0.09,0,0,0,0,0,3,3,1,
Ireland,Europe,"3,985","5,176,569",0.08,0,0,0,1,5,8,13,3,
Isle of Man,Europe,290,"90,499",0.32,0,0,0,0,1,0,1,0,
Italy,Europe,"27,486","62,402,659",0.04,1,2,0,10,62,33,95,53,
Jersey,Europe,290,"101,073",0.29,0,0,0,0,1,0,1,1,
Kosovo,Europe,102,"1,895,250",0.01,0,0,0,0,0,2,2,0,(e)
Latvia,Europe,"1,272","1,881,232",0.07,0,1,1,0,0,5,5,3,
Lithuania,Europe,925,"2,731,464",0.03,0,0,0,0,0,5,5,4,
Luxembourg,Europe,505,"628,381",0.08,0,0,0,0,1,0,1,1,
Malta,Europe,215,"457,267",0.05,0,0,0,0,0,1,1,1,
Macedonia,Europe,41,"2,118,945",0,0,0,0,0,0,1,1,0,(c)
Moldova,Europe,430,"3,364,496",0.01,0,0,0,0,0,4,4,1,
Montenegro,Europe,36,"609,859",0.01,0,0,0,0,0,1,1,1,
Netherlands,Europe,"9,326","17,280,397",0.05,1,1,0,3,20,4,24,10,
Norway,Europe,"4,564","5,467,439",0.08,0,1,0,2,11,9,20,15,
Poland,Europe,"2,058","38,282,325",0.01,0,1,2,0,0,13,13,6,
Portugal,Europe,"45,576","10,302,674",0.44,1,1,4,6,32,35,67,24,
Romania,Europe,"3,064","21,302,893",0.01,0,0,3,0,0,15,15,3,
Russia,Europe,"23,180","142,355,415",0.02,0,5,9,3,17,82,99,64,(f)
Serbia,Europe,368,"7,012,165",0.01,0,0,0,0,0,3,3,2,
Slovakia,Europe,302,"5,440,602",0.01,0,0,0,0,0,4,4,0,
Slovenia,Europe,431,"2,102,678",0.02,0,0,0,0,0,3,3,1,
Spain,Europe,"59,730","50,015,792",0.12,1,2,2,15,93,44,137,56,
Sweden,Europe,"9,649","10,202,491",0.09,1,1,1,4,25,15,40,37,
Switzerland,Europe,"9,071","8,403,994",0.11,1,0,0,5,27,8,35,14,
Turkey,Europe,512,"82,017,514",0,0,0,0,0,0,8,8,0,
Ukraine,Europe,"11,242","43,922,939",0.03,1,2,4,1,8,40,48,35,
United Kingdom,Europe,"188,187","65,761,117",0.29,2,5,0,45,279,41,320,122,
Antigua and Barbuda,North America,264,"98,179",0.27,0,0,0,0,0,1,1,1,
Aruba,North America,590,"119,428",0.49,0,0,0,0,0,2,2,2,
Bahamas,North America,"1,074","337,721",0.32,0,0,0,0,0,3,3,1,
Barbados,North America,"1,089","294,560",0.37,0,1,1,0,0,4,4,1,
Belize,North America,"5,485","399,598",1.37,0,0,2,0,0,12,12,2,
Bermuda,North America,197,"61,070",0.32,0,0,0,0,0,1,1,0,(c)
Bonaire,North America,80,"17,000",0.47,0,0,0,0,0,1,1,1,(b)
British Virgin Islands,North America,138,"35,802",0.39,0,0,0,0,0,1,1,0,(c)
Canada,North America,"199,054","37,694,085",0.53,8,6,4,51,348,149,497,156,
Cayman Islands,North America,231,"61,944",0.37,0,0,0,0,0,1,1,0,
Costa Rica,North America,"51,320","5,097,988",1.01,1,2,1,10,59,20,79,14,
Cuba,North America,357,"11,116,396",0,0,0,1,0,0,1,1,1,(c)
Curacao,North America,565,"151,345",0.37,0,0,0,0,0,1,1,1,
Dominica,North America,145,"74,243",0.2,0,0,0,0,0,1,1,0,
Dominican Republic,North America,"143,870","10,499,707",1.37,1,3,9,21,130,66,196,31,
