Name,Position,Income
Non-hierarchy's top 15 average,-,9681
Brigham Young,President,28524
Horace S. Eldredge,Seventy,8416
Brigham Young Jr.,First Presidency counselor,6580
Daniel H. Wells,First Presidency counselor,983
George Q. Cannon,Apostle,706
Albert P. Rockwood,Seventy,317
