Name,Position,Income
Non-hierarchy's top 15 average,-,44560
Brigham Young,President,39532
Horace S. Eldredge,Seventy,9051
Joseph A. Young,First Presidency counselor,3776
Edward Hunter,Presiding Bishop,501
Lorenzo Snow,Apostle,343
