Name,Position,Income
Non-hierarchy's top 15 average,-,6671
Brigham Young,President,10000
Horace S. Eldredge,Seventy,5144
Joseph A. Young,First Presidency counselor,2485
Heber C. Kimball,First Presidency counselor,2325
Ezra T. Benson,Apostle,690
Lorenzo Snow,Apostle,650
Edward Hunter,Presiding Bishop,510
Albert P. Rockwood,Seventy,482
George Q. Cannon,Apostle,320
Leonard W. Hardy,Presiding Bishopic counselor,200
Wilford Woodruff,Apostle,161
