Name,Position,Income
Non-hierarchy's top 15 average,-,4074
Brigham Young,President,20005
Heber C. Kimball,First Presidency counselor,1850
Daniel H. Wells,First Presidency counselor,846
Lorenzo Snow,Apostle,813
Edward Hunter,Presiding Bishop,411
George Q. Cannon,Apostle,367
Ezra T. Benson,Apostle,200
Albert P. Rockwood,Seventy,175
John Taylor,Apostle,80
