Name,Position,Income
Non-hierarchy's top 15 average,-,5049
Brigham Young,President,18400
Joseph A. Young,First Presidency counselor,11063
Horace S. Eldredge,Seventy,8959
Heber C. Kimball,First Presidency counselor,1999
Daniel H. Wells,First Presidency counselor,1100
Lorenzo Snow,Apostle,1080
Ezra T. Benson,Apostle,720
Edward Hunter,Presiding Bishop,474
Albert P. Rockwood,Seventy,212
Leonard W. Hardy,Presiding Bishopic counselor,200
Wilford Woodruff,Apostle,115
