Name,Position,Income
Non-hierarchy's top 15 average,-,3105
Brigham Young,President,10000
Heber C. Kimball,First Presidency counselor,2500
Daniel H. Wells,First Presidency counselor,2000
Albert P. Rockwood,Seventy,380
Wilford Woodruff,Apostle,356
John Taylor,Apostle,333
