State,Temples,Missions,Districts,Stakes,Wards,Branches,Wards & Branches
Alabama,1,1,0,8,49,28,77
Alaska,1,1,0,9,59,21,80
Arizona,6,6,0,116,857,85,942
Arkansas,0,2,0,7,49,22,71
California,7,15,0,147,"1,058",131,"1,189"
Colorado,2,4,0,35,279,34,313
Connecticut,1,0,0,4,29,6,35
Delaware,0,0,0,2,10,2,12
District Of Columbia,0,0,0,0,4,1,5
Florida,2,4,0,34,227,55,282
Georgia,1,2,0,19,134,32,166
Hawaii,2,1,0,16,127,15,142
Idaho,6,3,0,136,"1,163",52,"1,215"
Illinois,2,1,0,12,92,26,118
Indiana,1,1,0,12,76,23,99
Iowa,0,1,0,8,42,29,71
Kansas,0,1,0,7,59,16,75
Kentucky,1,1,0,8,48,31,79
Louisiana,1,1,0,7,34,19,53
Maine,0,0,0,2,18,8,26
Maryland,1,2,0,8,63,17,80
Massachusetts,1,1,0,7,44,14,58
Michigan,1,2,1,9,60,36,96
Minnesota,1,1,0,8,53,21,74
Mississippi,0,0,0,4,31,20,51
Missouri,2,2,0,18,136,22,158
Montana,1,1,0,13,88,39,127
Nebraska,1,1,0,5,41,17,58
Nevada,2,3,0,42,321,39,360
New Hampshire,0,1,0,3,16,4,20
New Jersey,0,1,0,6,42,23,65
New Mexico,1,2,0,14,103,37,140
New York,2,2,1,16,93,51,144
North Carolina,1,2,0,18,138,38,176
North Dakota,1,1,0,3,20,6,26
Ohio,1,2,0,14,104,22,126
Oklahoma,1,1,0,9,72,21,93
Oregon,2,3,0,35,250,50,300
Pennsylvania,1,2,0,13,78,30,108
Rhode Island,0,0,0,1,6,4,10
South Carolina,1,1,0,9,64,17,81
South Dakota,0,0,0,2,14,16,30
Tennessee,2,2,0,12,83,29,112
Texas,4,10,2,78,611,124,735
Utah,17,10,2,620,"5,053",321,"5,374"
Vermont,0,0,0,1,8,4,12
Virginia,0,2,0,23,181,37,218
Washington,3,7,0,61,457,62,519
West Virginia,0,1,0,4,23,11,34
Wisconsin,0,1,0,6,48,19,67
Wyoming,1,0,0,19,142,29,171
