State,Temples,Missions,Districts,Stakes,Wards,Branches,Wards & Branches
Alabama,1,1,0,8,49,28,77
Alaska,1,1,0,8,59,22,81
Arizona,6,6,0,116,856,83,939
Arkansas,0,2,0,7,48,22,70
California,7,15,0,151,"1,082",134,"1,216"
Colorado,2,4,0,35,278,32,310
Connecticut,1,0,0,3,28,6,34
Delaware,0,0,0,2,10,2,12
District Of Columbia,0,0,0,0,4,1,5
Florida,2,4,0,34,226,47,273
Georgia,1,2,0,19,133,33,166
Hawaii,2,1,0,16,125,16,141
Idaho,5,3,0,135,"1,143",54,"1,197"
Illinois,2,1,0,12,93,26,119
Indiana,1,1,0,11,75,25,100
Iowa,0,1,0,8,43,25,68
Kansas,0,1,0,7,59,16,75
Kentucky,1,1,0,8,48,31,79
Louisiana,1,1,0,7,34,20,54
Maine,0,0,0,2,18,8,26
Maryland,1,2,0,8,63,14,77
Massachusetts,1,1,0,7,44,15,59
Michigan,1,2,1,8,60,36,96
Minnesota,1,1,0,8,52,23,75
Mississippi,0,0,0,4,30,21,51
Missouri,2,2,0,18,133,21,154
Montana,1,1,0,13,87,39,126
Nebraska,1,1,0,5,41,17,58
Nevada,2,3,0,42,320,37,357
New Hampshire,0,1,0,3,16,4,20
New Jersey,0,1,0,6,42,23,65
New Mexico,1,2,0,14,105,37,142
New York,2,2,1,17,93,49,142
North Carolina,1,2,0,17,139,31,170
North Dakota,1,1,0,3,21,5,26
Ohio,1,2,0,13,103,23,126
Oklahoma,1,1,0,9,73,20,93
Oregon,2,3,0,35,252,50,302
Pennsylvania,1,2,0,12,78,30,108
Rhode Island,0,0,0,1,6,4,10
South Carolina,1,1,0,9,62,16,78
South Dakota,0,0,0,2,14,16,30
Tennessee,2,2,0,12,79,31,110
Texas,4,10,2,78,605,122,727
Utah,17,10,1,612,"4,978",319,"5,297"
Vermont,0,0,0,1,7,5,12
Virginia,0,2,0,23,179,36,215
Washington,3,7,0,61,470,63,533
West Virginia,0,1,0,4,24,10,34
Wisconsin,0,1,0,6,48,19,67
Wyoming,1,1,0,19,145,26,171
