State,Temples,Missions,Districts,Stakes,Wards,Branches,Wards & Branches
Alabama,1,1,0,8,49,28,77
Alaska,1,1,0,8,59,21,80
Arizona,6,6,0,115,844,84,928
Arkansas,0,2,0,7,46,23,69
California,7,15,0,153,"1,092",137,"1,229"
Colorado,2,4,0,35,279,31,310
Connecticut,1,0,0,3,29,5,34
Delaware,0,0,0,2,10,2,12
District Of Columbia,0,0,0,0,3,2,5
Florida,2,4,0,33,219,48,267
Georgia,1,2,0,17,128,33,161
Hawaii,2,1,0,16,125,16,141
Idaho,5,3,0,132,"1,129",53,"1,182"
Illinois,2,2,0,12,93,26,119
Indiana,1,1,0,11,76,25,101
Iowa,0,1,0,8,43,25,68
Kansas,0,1,0,7,60,16,76
Kentucky,1,1,0,8,47,30,77
Louisiana,1,1,0,7,35,20,55
Maine,0,0,0,2,18,8,26
Maryland,1,2,0,8,63,12,75
Massachusetts,1,1,0,6,43,15,58
Michigan,1,2,1,8,60,36,96
Minnesota,1,1,0,8,52,23,75
Mississippi,0,0,0,4,30,22,52
Missouri,2,2,0,18,132,21,153
Montana,1,1,0,13,87,39,126
Nebraska,1,1,0,5,41,17,58
Nevada,2,3,0,42,316,32,348
New Hampshire,0,1,0,3,15,5,20
New Jersey,0,1,0,6,42,22,64
New Mexico,1,2,0,14,104,37,141
New York,2,2,1,17,92,48,140
North Carolina,1,2,0,17,139,31,170
North Dakota,1,1,0,3,21,5,26
Ohio,1,2,0,13,102,23,125
Oklahoma,1,1,0,9,73,20,93
Oregon,2,3,0,35,258,49,307
Pennsylvania,1,2,0,12,78,31,109
Rhode Island,0,0,0,1,6,4,10
South Carolina,1,1,0,9,62,14,76
South Dakota,0,0,0,2,12,18,30
Tennessee,2,2,0,12,79,30,109
Texas,4,8,2,77,599,122,721
Utah,17,10,1,604,"4,915",316,"5,231"
Vermont,0,0,0,1,7,5,12
Virginia,0,2,0,23,173,31,204
Washington,3,7,0,62,476,66,542
West Virginia,0,1,0,4,24,11,35
Wisconsin,0,1,0,6,48,19,67
Wyoming,1,1,0,17,144,26,170
